window,strategy,metric,value
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),Overlay 70/30,Cost Drag (%),0.13075938935204334
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),Overlay 70/30,Annualized Sharpe,4.203332278490428
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),Overlay 70/30,Max Drawdown (%),-1.9046897192032755
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),Overlay 70/30,IR vs B&H,-1.951145493865726
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),Overlay 70/30,Avg Turnover,0.2640168345540138
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),Overlay 70/30,Avg Cost (frac),0.0001320084172770069
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),Overlay 70/30,Avg Gross Exposure,1.0
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),Overlay 70/30,Avg Net Exposure,1.0
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),Overlay 70/30,Avg Long Exposure,1.0
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),Overlay 70/30,Avg Short Exposure,0.0
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),Overlay 70/30,Avg Active Share,0.15329494340788385
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),Overlay 70/30,Avg Hit Rate,0.63125
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),Overlay 70/30,Ending Value NET ($),12443.53469604304
Post-Training OOS CLEAN (2026-03-20 to 2026-05-15),Overlay 70/30,Rebalances,8.0
