window,slice_type,slice_value,metric,value
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,10,mean_fwd21,0.014491
Pre-Training OOS (2023-07-01 to 2025-03-01),decile,10,n,172.0
Pre-Training OOS (2023-07-01 to 2025-03-01),calibration,all,top_minus_bottom_spread,-0.032154
Pre-Training OOS (2023-07-01 to 2025-03-01),calibration,all,monotonicity_score,-0.090909
Pre-Training OOS (2023-07-01 to 2025-03-01),calibration,all,bottom_decile_mean,0.046645
Pre-Training OOS (2023-07-01 to 2025-03-01),calibration,all,top_decile_mean,0.014491
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),overall,"21d (≈30cal, model target)",mean_ic,0.036895
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),overall,"21d (≈30cal, model target)",pooled_ic,0.040278
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),overall,"21d (≈30cal, model target)",ic_ir_tstat,0.539733
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),overall,5d (contrast),mean_ic,-0.012652
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),overall,5d (contrast),pooled_ic,-0.048459
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),overall,5d (contrast),ic_ir_tstat,-0.159147
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Capital Goods,pooled_ic,0.763763
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Capital Goods,mean_ic,
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Capital Goods,n_obs,8.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Finance,pooled_ic,-0.028447
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Finance,mean_ic,-0.152598
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Finance,n_obs,40.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Health Care,pooled_ic,0.169246
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Health Care,mean_ic,0.168158
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Health Care,n_obs,56.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Technology,pooled_ic,0.144092
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Technology,mean_ic,0.219025
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Technology,n_obs,48.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Transportation,pooled_ic,-0.370337
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Transportation,mean_ic,
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),sector,Transportation,n_obs,8.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),beta_bucket,low_beta,pooled_ic,0.068898
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),beta_bucket,low_beta,mean_ic,0.026428
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),beta_bucket,low_beta,n_obs,54.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),beta_bucket,mid_beta,pooled_ic,0.024277
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),beta_bucket,mid_beta,mean_ic,0.251621
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),beta_bucket,mid_beta,n_obs,53.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),beta_bucket,high_beta,pooled_ic,-0.158498
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),beta_bucket,high_beta,mean_ic,-0.175134
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),beta_bucket,high_beta,n_obs,53.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),vol_bucket,low_vol,pooled_ic,0.238469
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),vol_bucket,low_vol,mean_ic,0.2625
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),vol_bucket,low_vol,n_obs,54.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),vol_bucket,mid_vol,pooled_ic,0.387837
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),vol_bucket,mid_vol,mean_ic,0.481548
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),vol_bucket,mid_vol,n_obs,53.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),vol_bucket,high_vol,pooled_ic,-0.241132
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),vol_bucket,high_vol,mean_ic,-0.360864
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),vol_bucket,high_vol,n_obs,53.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),mcap_bucket,small_cap,pooled_ic,-0.197097
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),mcap_bucket,small_cap,mean_ic,-0.141942
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),mcap_bucket,small_cap,n_obs,54.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),mcap_bucket,mid_cap,pooled_ic,0.084093
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),mcap_bucket,mid_cap,mean_ic,0.041964
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),mcap_bucket,mid_cap,n_obs,53.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),mcap_bucket,large_cap,pooled_ic,0.372585
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),mcap_bucket,large_cap,mean_ic,0.364116
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),mcap_bucket,large_cap,n_obs,53.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),adv_bucket,low_adv,pooled_ic,0.1533
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),adv_bucket,low_adv,mean_ic,0.216288
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),adv_bucket,low_adv,n_obs,54.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),adv_bucket,mid_adv,pooled_ic,0.079234
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),adv_bucket,mid_adv,mean_ic,0.043945
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),adv_bucket,mid_adv,n_obs,53.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),adv_bucket,high_adv,pooled_ic,0.111239
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),adv_bucket,high_adv,mean_ic,0.050636
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),adv_bucket,high_adv,n_obs,53.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),month,2026-03,pooled_ic,-0.142146
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),month,2026-03,mean_ic,-0.140241
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),month,2026-03,n_obs,40.0
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),month,2026-04,pooled_ic,0.076251
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),month,2026-04,mean_ic,0.063725
Post-Training OOS [CLEAN] (2026-03-20 to 2026-05-15),month,2026-04,n_obs,60.0
